time_index,CA0,T_in,v,q1_dot,q2_dot,q3_dot,CA1_clean,CB1_clean,CC1_clean,T1_clean,CA2_clean,CB2_clean,CC2_clean,T2_clean,CA3_clean,CB3_clean,CC3_clean,T3_clean,CA_final_measured,CB_final_measured,CC_final_measured,T_out_final_measured
0,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,87.115,0.1,0.1,1340.7,87.115,0.1,0.1,1340.7,87.115,0.1,0.1,1340.7,102.22843019837066,11.413694046674653,9.817527647537734,1350.1317563327723
1,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,77.44707297943677,9.74649546807492,9.74649546807492,1306.4342310482016,76.11734365174345,11.09517550463561,11.09517550463561,1306.6646924165052,76.14675270252975,11.068051910612656,11.068051910612656,1305.0822014138053,85.0583053837534,16.881507271933124,16.489151755558986,1309.9726013444026
2,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,73.6752999358225,13.501430073621481,13.501430073621481,1295.2286253964708,70.3926960669569,16.813812497986202,16.813812497986202,1293.3921703876679,70.16304271437424,17.05064844002963,17.05064844002963,1290.5434284619823,74.65049761516873,19.95328836712855,19.455318072023275,1293.103683728719
3,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,71.72553984621541,15.437960463853562,15.437960463853562,1290.8544141639452,66.60430096144367,20.594294171745887,20.594294171745887,1287.5321692960606,65.8358461241392,21.375446318114218,21.375446318114218,1283.570301110181,67.30127635799049,23.041757633459927,22.506126697096466,1285.1386480496078
4,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,70.57825194749554,16.574853993163995,16.574853993163995,1289.1099984749108,63.85833457629445,23.331535974608876,23.331535974608876,1285.1352214135193,62.3675546574789,24.840051143405475,24.840051143405475,1280.3943792439711,62.0329221436687,24.870240372240055,24.747577954199045,1280.8744189981712
5,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,69.84372282066948,17.301216425316426,17.301216425316426,1288.4522810389428,61.76998730520706,25.411058670156706,25.411058670156706,1284.454637701213,59.45440040480665,27.74841793018111,27.74841793018111,1279.3499383271387,60.337327255759696,26.46840818506734,27.420916603323867,1279.0763495093574
6,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,69.34458938999285,17.793933410774997,17.793933410774997,1288.2464375423142,60.134686982735865,27.037878014095288,27.037878014095288,1284.6041615613346,56.95046793459903,30.246729996863547,30.246729996863547,1279.5286638870218,56.12508532742419,29.691028550553295,28.87022557723918,1279.7339097890758
7,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.99110036618053,18.142381133194032,18.142381133194032,1288.2215464710362,58.8304243526788,28.334261309132554,28.334261309132554,1285.1179108706908,54.77411815483952,32.416910062197424,32.416910062197424,1280.3860577853077,52.09328634407834,29.942823863444936,30.528009136846624,1280.1968312027473
8,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.73377634841871,18.395744278716762,18.395744278716762,1288.2619104897021,57.778500504990554,29.379039123271347,29.379039123271347,1285.7541832985867,52.87393682224869,34.31063553934419,34.31063553934419,1281.5857556604979,50.38612834088901,31.75048911922377,32.091321935557964,1280.2632522783285
9,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.54313002197927,18.58327860933005,18.58327860933005,1288.3194091292883,56.92475457258279,30.226419914693988,30.226419914693988,1286.3931874375414,51.21393641639403,35.964118931766855,35.964118931766855,1282.9211797799023,48.036444832669915,33.72154779023316,33.48748650751304,1281.2090346049258
10,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.40033023598288,18.72363334851918,18.72363334851918,1288.3752895119057,56.229753829629665,30.9158299199242,30.9158299199242,1286.9805906084355,49.766349324312344,37.4053083449147,37.4053083449147,1284.2688851172213,46.04303977578491,34.04339970570009,35.037710976164234,1282.3999041122236
11,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.29265323739389,18.829389311790763,18.829389311790763,1288.4233196372002,55.66344062479472,31.477287215223683,31.477287215223683,1287.4961783272777,48.50794367544404,38.65757207185087,38.65757207185087,1285.5584399808486,44.29817615433407,34.498906491614406,36.35136689372547,1283.3323902384677
