time_index,CA0,T_in,v,q1_dot,q2_dot,q3_dot,CA1_clean,CB1_clean,CC1_clean,T1_clean,CA2_clean,CB2_clean,CC2_clean,T2_clean,CA3_clean,CB3_clean,CC3_clean,T3_clean,CA_final_measured,CB_final_measured,CC_final_measured,T_out_final_measured
0,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,87.115,0.1,0.1,1340.7,87.115,0.1,0.1,1340.7,87.115,0.1,0.1,1340.7,103.47829807896233,13.276611539376002,11.904336403748772,1349.404067535241
1,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,77.44707297943677,9.74649546807492,9.74649546807492,1306.4342310482016,76.11734365174345,11.09517550463561,11.09517550463561,1306.6646924165052,76.14675270252975,11.068051910612656,11.068051910612656,1305.0822014138053,84.83070923241533,18.211916589170105,16.477046422139622,1309.4670382220177
2,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,73.6752999358225,13.501430073621481,13.501430073621481,1295.2286253964708,70.3926960669569,16.813812497986202,16.813812497986202,1293.3921703876679,70.16304271437424,17.05064844002963,17.05064844002963,1290.5434284619823,75.73936636045529,20.646000022561815,20.611180897927763,1293.3377284434036
3,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,71.72553984621541,15.437960463853562,15.437960463853562,1290.8544141639452,66.60430096144367,20.594294171745887,20.594294171745887,1287.5321692960606,65.8358461241392,21.375446318114218,21.375446318114218,1283.570301110181,69.54285580290728,23.690635498582452,22.86212492225594,1284.8472552942412
4,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,70.57825194749554,16.574853993163995,16.574853993163995,1289.1099984749108,63.85833457629445,23.331535974608876,23.331535974608876,1285.1352214135193,62.3675546574789,24.840051143405475,24.840051143405475,1280.3943792439711,63.4587012267003,25.62112510549466,26.221908243169093,1281.0068615549328
5,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,69.84372282066948,17.301216425316426,17.301216425316426,1288.4522810389428,61.76998730520706,25.411058670156706,25.411058670156706,1284.454637701213,59.45440040480665,27.74841793018111,27.74841793018111,1279.3499383271387,60.69184643615397,28.536758027121245,27.503230863944655,1279.8076634075226
6,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,69.34458938999285,17.793933410774997,17.793933410774997,1288.2464375423142,60.134686982735865,27.037878014095288,27.037878014095288,1284.6041615613346,56.95046793459903,30.246729996863547,30.246729996863547,1279.5286638870218,57.3043813774873,29.732030772226686,29.862618273901006,1279.7746060444633
7,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.99110036618053,18.142381133194032,18.142381133194032,1288.2215464710362,58.8304243526788,28.334261309132554,28.334261309132554,1285.1179108706908,54.77411815483952,32.416910062197424,32.416910062197424,1280.3860577853077,52.80758876629144,31.01680020095262,31.75105486312118,1280.1244466586415
8,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.73377634841871,18.395744278716762,18.395744278716762,1288.2619104897021,57.778500504990554,29.379039123271347,29.379039123271347,1285.7541832985867,52.87393682224869,34.31063553934419,34.31063553934419,1281.5857556604979,51.02666908188232,33.27899011705805,32.68090563060529,1281.1661852551576
9,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.54313002197927,18.58327860933005,18.58327860933005,1288.3194091292883,56.92475457258279,30.226419914693988,30.226419914693988,1286.3931874375414,51.21393641639403,35.964118931766855,35.964118931766855,1282.9211797799023,49.25517641453805,33.69273139799618,34.102697218344645,1282.2019672799643
10,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.40033023598288,18.72363334851918,18.72363334851918,1288.3752895119057,56.229753829629665,30.9158299199242,30.9158299199242,1286.9805906084355,49.766349324312344,37.4053083449147,37.4053083449147,1284.2688851172213,48.05392086770616,34.04938913396148,34.55633490639793,1283.8174883024494
11,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.29265323739389,18.829389311790763,18.829389311790763,1288.4233196372002,55.66344062479472,31.477287215223683,31.477287215223683,1287.4961783272777,48.50794367544404,38.65757207185087,38.65757207185087,1285.5584399808486,46.22480220158914,35.12792592474378,36.77526945637421,1284.1275539431008
12,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.21113346122203,18.90939976033758,18.90939976033758,1288.4623816291878,55.20212097066059,31.934427606812985,31.934427606812985,1287.9367357766039,47.4181654773704,39.741560523504546,39.741560523504546,1286.752635351653,44.1475204683222,36.76662738264656,37.97400715020051,1285.650439506442
13,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.14926818090031,18.97007918537646,18.97007918537646,1288.4932610524531,54.82670320733046,32.30627576016014,32.30627576016014,1288.306924306098,46.478266120670014,40.67608447141994,40.67608447141994,1287.83464557821,42.75564532355693,37.31281117704983,37.396324539416106,1286.1079754016964
14,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.10225129962477,19.016164358566545,19.016164358566545,1288.5172953847748,54.52160711997688,32.60834253238563,32.60834253238563,1288.6145575351147,45.6709467712747,41.478476876980146,41.478476876980146,1288.7998746281987,41.259527901907326,37.18014026959642,38.7079399380985,1287.2016030836494
15,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.06648845246671,19.05119517714651,19.05119517714651,1288.5358375278595,54.27403716242656,32.8533558387828,32.8533558387828,1288.8682421069725,44.98024958573939,42.16470766875838,42.16470766875838,1289.6508735582183,40.26860401755368,37.53719177874062,38.450440140645306,1287.8529119177992
16,87.115,1340.7,0.000804,138120.658,215693.309,179961.132,68.03927195522527,19.077836530898807,19.077836530898807,1288.550069354868,54.07346022756603,33.05178532791934,33.05178532791934,1289.0762616473294,44.39154505923602,42.74940178531361,42.74940178531361,1290.3942070844846,39.06106286151762,38.07630976889004,38.5575742060087,1288.3709542744402
