output,unit,fp_rmse,final_hybrid_rmse,threshold,satisfied_by_fp,satisfied_final,rmse_reduction_percent
F_vap,model flow units/min,0.01253514622618332,0.0026023253988694535,0.005,False,True,79.23976831292374
F_liq,model flow units/min,0.012538350091234805,0.0007943265811110826,0.01,False,True,93.66482371818304
T_vap,K,29.360750539718634,6.2174263371434915,20.0,False,True,78.82402110691046
T_liq,K,29.354907932555754,7.199250079521207,20.0,False,True,75.4751399797887
y_A,mole fraction,0.006152489715191829,0.0010280729011820965,0.01,True,True,83.29013214530758
y_B,mole fraction,0.14755915781822715,0.0073667294875208395,0.05,False,True,95.00760942496319
y_C,mole fraction,0.14148567117219227,0.0021429816265242335,0.01,False,True,98.48537197528917
x_A,mole fraction,0.08259617333634793,0.012738321380059257,0.05,False,True,84.57758892995405
x_B,mole fraction,0.0683491162302161,0.003082929854919435,0.01,False,True,95.48943713546288
x_C,mole fraction,0.019782204637009845,0.019782204637009845,0.05,True,True,0.0
