step_index,original_time_index,v,CA_feed_measured,CB_feed_measured,CC_feed_measured,T_feed_measured,F_A_feed,F_B_feed,F_C_feed,F_feed,z_A,z_B,z_C,P_cooler,T_cooler_out,beta_cooler,UA_required,Q_cooler,x_A_cooler,x_B_cooler,x_C_cooler,y_A_cooler,y_B_cooler,y_C_cooler,P_flash,T_flash_true,beta_flash,phase_state,K_A_flash,K_B_flash,K_C_flash,F_vap_true,F_vap_measured,F_liq_true,F_liq_measured,y_A_true,y_B_true,y_C_true,y_A_measured,y_B_measured,y_C_measured,x_A_true,x_B_true,x_C_true,x_A_measured,x_B_measured,x_C_measured,T_vap_true,T_vap_measured,T_liq_true,T_liq_measured
0,0.0,0.000804,103.47829807896233,13.276611539376002,11.904336403748772,1349.404067535241,0.08319655165548571,0.010674395677658306,0.009571086468614013,0.10344203380175804,0.8042818629700198,0.10319205148378367,0.0925260855461965,2.0,421.22015832178914,0.35000000000582077,14.484104303045154,8113.616139928086,0.8848262066268524,0.022439133563415693,0.09273465980973193,0.6546995104677639,0.25316175618973985,0.09213873334249637,2.0,421.22015832178914,0.0,liquid,0.075,6.0,0.175,0.0,9.14151239263294e-16,0.10344203380175804,0.1038652758503901,0.08670997561879866,0.8900143773150069,0.023275647066194612,0.0871053343707008,0.8886542413432846,0.024240424286014545,0.8042818629700198,0.10319205148378367,0.0925260855461965,0.8051912597494589,0.10258618009718651,0.09222256015335459,421.22015832178914,421.2454787728187,421.22015832178914,421.07135264739594
1,1.0,0.000804,84.83070923241533,18.211916589170105,16.477046422139622,1309.4670382220177,0.06820389022286193,0.014642380937692765,0.013247545323400257,0.09609381648395496,0.7097635697948381,0.15237589132634402,0.13786053887881783,2.0,411.95782058549173,0.35000000000582077,12.998899906856407,7042.409696251403,0.8205574579403958,0.03462254465833443,0.14481999740126977,0.5040034918143335,0.3710606779911446,0.1249358301945219,2.0,411.95782058549173,0.0,liquid,0.075,6.0,0.175,0.0,0.0,0.09609381648395496,0.0963518817080853,0.05368249151783924,0.9219878665808805,0.024329641901280237,0.05402531207451411,0.9207916422780333,0.02518304564745258,0.7097635697948381,0.15237589132634402,0.13786053887881783,0.7097040186914279,0.1522301384719407,0.13806584283663134,411.95782058549173,412.04734242571436,411.95782058549173,412.06638152578915
2,2.0,0.000804,75.73936636045529,20.64600002256181,20.611180897927763,1293.3377284434036,0.06089445055380606,0.016599384018139696,0.016571389441933922,0.09406522401387968,0.6473641156142982,0.17646674626204467,0.17616913812365717,2.0,406.53686286965313,0.35000000000582077,12.470348480560748,6641.117388282402,0.7688177573465991,0.041172543628489745,0.19000969902491102,0.421807352401467,0.42772740829100026,0.15046523930753278,2.0,406.53686286965313,0.030573176394682378,two-phase,0.075,6.0,0.175,0.002875872686381656,0.002882347292671103,0.09118935132749802,0.09099252452019943,0.049965337826552124,0.9184073309205368,0.03162733125291112,0.05134400640854871,0.9162137790289101,0.03244221456254115,0.666204504353844,0.1530678884867138,0.18072760715944214,0.666174110882906,0.1525326610748576,0.18129322804223633,406.53686286965313,406.5641949953068,406.53686286965313,406.40609617981465
3,3.0,0.000804,69.54285580290728,23.69063549858245,22.86212492225594,1284.8472552942412,0.05591245606553746,0.01904727094086029,0.018381148437493777,0.09334087544389152,0.5990136239845661,0.20406141307630937,0.19692496293912454,2.0,400.32511475467305,0.35000000000582077,12.285009464416369,6431.99899669157,0.732210786177078,0.049113280589963795,0.21867593323295811,0.3516474656316782,0.49182223054556007,0.15653030382276173,2.0,400.32511475467305,0.06744847373920493,two-phase,0.075,6.0,0.175,0.006295699586171715,0.006313464124858971,0.08704517585771981,0.08665281882504608,0.04791545956456391,0.9155920474887604,0.036492492946675524,0.04757036279092358,0.9142608421814752,0.03816879502760118,0.6388727942583885,0.15259867459679538,0.2085285311448161,0.6388770413340896,0.15127516369150362,0.20984779497440667,400.32511475467305,400.5489979213145,400.32511475467305,400.4048091236759
4,4.0,0.000804,63.4587012267003,25.62112510549466,26.221908243169093,1281.0068615549328,0.051020795786267045,0.020599384584817707,0.02108241422750795,0.0927025945985927,0.5503707421263653,0.22220936397750427,0.2274198938961305,2.0,395.47822540487346,0.35000000000582077,12.084831121313984,6249.353806324139,0.687049138782525,0.054823594662771064,0.25812726655470397,0.2965394340552551,0.533068649842071,0.17039191610267387,2.0,395.47822540487346,0.09245212320820428,two-phase,0.075,6.0,0.175,0.008570551697549306,0.00852038735370502,0.0841320429010434,0.08338380729894337,0.04513791995396531,0.9117774008056698,0.04308467924036487,0.04530226145719087,0.9115387288124219,0.04315900973038722,0.6018389327546758,0.15196290014315064,0.24619816710217354,0.6032691825623276,0.15079046756426287,0.2459403498734096,395.47822540487346,395.6212041501205,395.47822540487346,395.4081213224747
5,5.0,0.000804,60.69184643615397,28.536758027121245,27.50323086394465,1279.8076634075226,0.0487962445346678,0.02294355345380548,0.022112597614611502,0.09385239560308478,0.5199254022351661,0.24446422817843727,0.23561036958639653,2.0,389.89148396454596,0.35000000000582077,12.279883819005294,6258.647976769057,0.6639067869742178,0.06210085382987997,0.2739923591959021,0.25253140200977064,0.5831390662489188,0.16432953174131062,2.0,389.89148396454596,0.12230954153346829,two-phase,0.075,6.0,0.175,0.011479043478030995,0.011434200152504573,0.08237335212505378,0.08223904348449382,0.04396888304909284,0.910171856555786,0.04585926039512118,0.04334507064409636,0.9094003356901941,0.04725459366570943,0.5862517740128681,0.15169530943242374,0.2620529165547082,0.5859589130882406,0.15193629738324602,0.2621047895285134,389.89148396454596,389.8607311880742,389.89148396454596,390.0516411023355
6,6.0,0.000804,57.3043813774873,29.73203077222669,29.86261827390101,1279.774606044463,0.04607272262749979,0.02390455274087026,0.024009545092216412,0.09398682046058646,0.4902040775687318,0.25433941294880463,0.2554565094824636,2.0,386.80401447103577,0.35000000000582077,12.246293414279421,6193.854553675071,0.6333755357365579,0.06567904994471145,0.3009454143187307,0.22431422668998302,0.6047086585220937,0.17097711478792338,2.0,386.80401447103577,0.1362933888740372,two-phase,0.075,6.0,0.175,0.012809782270069025,0.012814695093258697,0.08117703819051743,0.08176648455617576,0.04206900331857305,0.9075625796693083,0.050368417012118756,0.042682781869617895,0.9070951671598189,0.050222050970563266,0.5609200442610685,0.1512604299485057,0.2878195257904258,0.560234328965093,0.15178560813095637,0.28798006290395056,386.80401447103577,386.7722117276551,386.80401447103577,386.8789695249284
7,7.0,0.000804,52.80758876629144,31.01680020095262,31.75105486312118,1280.1244466586415,0.04245730136809832,0.024937507361565907,0.02552784810994943,0.09292265683961365,0.4569101101078122,0.26836842821453694,0.27472146167765094,2.0,382.47695270058364,0.35000000000582077,12.093160471508941,6047.5150053464895,0.5996725453703976,0.07094003540016824,0.32938741922943415,0.1917798731956709,0.6350211577212813,0.17319896908304783,2.0,382.47695270058364,0.15593349994742312,two-phase,0.075,6.0,0.175,0.014489755105414311,0.01447600827226343,0.07843290173419934,0.07853522944018772,0.040044168564155276,0.9047816907248571,0.05517414071098761,0.04183616758468473,0.9047777858069633,0.053386046608352035,0.5339222475012476,0.15079694844826186,0.3152808040504906,0.5335223025752378,0.15100412770577173,0.3154735697189903,382.47695270058364,382.5239223725322,382.47695270058364,382.37614791349625
8,8.0,0.000804,51.02666908188232,33.27899011705805,32.68090563060529,1281.1661852551576,0.041025441941833385,0.026756308054114674,0.02627544812700665,0.09405719812295471,0.43617546302201726,0.284468478628695,0.27935605834928773,2.0,377.7609510255095,0.35000000000582077,12.335329000622366,6087.185633609443,0.5816544272957644,0.07717201773303696,0.3411735549711986,0.16600024366092378,0.6694476202857377,0.16455213605333857,2.0,377.7609510255095,0.1777982572966721,two-phase,0.075,6.0,0.175,0.016723205912469164,0.016722363004819628,0.07733399221048555,0.07720417033405388,0.03915227562363305,0.9035567733884668,0.05729095098790011,0.04094274538640501,0.9019793211677629,0.0570779334458321,0.5220303416478217,0.15059279556456592,0.32737686278761247,0.5223526872852459,0.15093057716594685,0.3267167355488073,377.7609510255095,377.6771491074669,377.7609510255095,377.66924277028846
9,9.0,0.000804,49.25517641453805,33.69273139799618,34.102697218344645,1282.2019672799645,0.039601161837288595,0.027088956043988928,0.027418568563549094,0.09410868644482662,0.42080240765559607,0.2878475629332097,0.29135002941119426,2.0,376.39097644504204,0.35000000000582077,12.311582248184017,6055.279514933434,0.5636352554094387,0.07868681689203891,0.35767792769852236,0.15554140468836625,0.6762889484321021,0.16816964687953168,2.0,376.39097644504204,0.18296278387424536,two-phase,0.075,6.0,0.175,0.017218387258693936,0.017174323136613018,0.07689029918613267,0.07699757965549475,0.037989554652451844,0.9019599033732589,0.06005054197428915,0.03761178237589304,0.9028897113698867,0.05949850625422022,0.5065273953320722,0.15032665055213348,0.3431459541157942,0.506018493971559,0.150160301057801,0.34382120497064,376.39097644504204,376.5076052756953,376.39097644504204,376.4515289655645
